id,movie,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,avg_vote
680,The Quatermass Experiment,1955,Sci-Fi,82,Great Britain,Val Guest,0,2,1,3,7,38
682,Atlantis,1991,Documentary,78,France,Luc Besson,0,2,3,0,6,14
686,Attack on the Iros Coast,1968,War,90,Great Britain,Paul Wendkos,0,0,0,0,4,3
687,North Sea Hijack,1979,Adventure,93,Great Britain,Andrew McLaglen,0,2,0,2,6,25
694,The Object of Beauty,1990,Comedy,102,Great Britain,Michael Lindsay-Hogg,2,2,0,1,5,8
708,The Shout,1978,Drama,82,Great Britain,Jerzy Skolimowski,0,3,3,3,7,86
720,The Divorce of Lady X,1938,Comedy,92,Great Britain,Tim Whelan,2,2,0,1,7,8
733,Alice's Adventures in Wonderland,1972,Fantasy,96,Great Britain,William Sterling,0,2,1,1,4,3
736,The Adventures of Gérard,1970,Comedy,90,Great Britain,Jerzy Skolimowski,1,2,1,1,5,5
742,Oliver Twist,1948,Drama,116,Great Britain,David Lean,0,2,2,3,7,31
791,Reach for the Sky,1956,War,130,Great Britain,Lewis Gilbert,1,2,2,2,7,7
803,Dance with a Stranger,1985,Drama,99,Great Britain,Mike Newell,0,2,2,2,6,51
826,Le banquet,1989,Comedy,86,France,Marco Ferreri,2,2,2,0,6,12
828,La Banquière,1980,Biography,118,France,Francis Girod,0,2,2,2,6,6
843,Action of the Tiger,1957,Adventure,93,Great Britain,Terence Young,0,2,0,1,4,5
845,Pépé le Moko,1937,Drama,94,France,Julien Duvivier,1,3,2,3,8,44
855,Dr Jekyll and Sister Hyde,1971,Horror,97,Great Britain,Roy Ward Baker,0,0,0,0,7,19
860,Le baron de l'écluse,1960,Comedy,95,France,Jean Delannoy,2,2,0,1,7,15
862,Münchhausen,1943,Adventure,115,Germany,Josef Von Baky,1,3,0,2,6,13
891,Weekend of Shadows,1978,Drama,95,Australia,Tom Jeffrey,0,2,1,1,5,3
907,The Wicked Lady,1945,Adventure,104,Great Britain,Leslie Arliss,1,2,0,1,6,18
920,Das blaue Licht - Eine Berglegende aus den Dolomiten,1932,Drama,86,Germany,Leni Riefenstahl,0,0,0,0,6,10
